timemestamp,value
08:32:48, 81.72
08:32:49, 81.72
08:32:50, 81.72
08:32:51, 81.72
08:32:52, 81.72
08:32:53, 81.72
08:32:54, 81.72
08:32:55, 81.72
08:32:56, 81.72
08:32:57, 81.72
08:32:58, 81.72
08:32:59, 81.72
08:33:00, 81.72
08:33:02, 81.72
08:33:03, 81.72
08:33:04, 81.72
08:33:05, 81.72
08:33:06, 81.72
08:33:07, 81.72
08:33:08, 81.72
08:33:09, 81.72
08:33:10, 81.72
08:33:11, 81.72
08:33:12, 81.72
08:33:14, 81.72
08:33:15, 81.72
08:33:16, 81.72
08:33:17, 81.72
08:33:18, 81.72
08:33:19, 81.72
08:33:20, 81.72
08:33:21, 81.72
08:33:22, 81.72
08:33:23, 81.72
08:33:24, 81.72
08:33:26, 81.72
08:33:27, 81.72
08:33:28, 81.72
08:33:29, 81.72
08:33:30, 81.72
08:33:31, 81.72
08:33:32, 81.72
08:33:33, 81.72
08:33:34, 81.72
08:33:35, 81.72
08:33:36, 81.72
08:33:38, 81.72
08:33:39, 81.72
08:33:40, 81.72
08:33:41, 81.72
08:33:42, 81.72
08:33:43, 81.72
08:33:44, 81.72
08:33:45, 81.72
08:33:46, 81.72
08:33:47, 81.72
08:33:49, 81.72
08:33:50, 81.72
08:33:51, 81.72
08:33:52, 81.72
08:33:53, 81.72
08:33:54, 81.72
08:33:55, 81.72
08:33:56, 81.72
08:33:57, 81.72
08:33:58, 81.72
08:33:59, 81.72
08:34:00, 81.72
08:34:01, 81.72
08:34:02, 82.22
08:34:03, 82.22
08:34:04, 82.22
08:34:05, 82.22
08:34:06, 82.22
08:34:07, 82.22
08:34:08, 82.22
08:34:09, 82.22
08:34:10, 82.22
08:34:11, 82.22
08:34:13, 82.22
08:34:14, 82.22
08:34:15, 82.22
08:34:16, 82.22
08:34:17, 82.22
08:34:18, 82.30
08:34:19, 82.30
08:34:20, 82.30
08:34:21, 82.30
08:34:22, 82.30
08:34:23, 82.30
08:34:25, 82.30
08:34:26, 82.30
08:34:27, 82.30
08:34:28, 82.30
08:34:29, 82.30
08:34:30, 82.30
08:34:31, 82.30
08:34:32, 82.30
08:34:33, 82.30
08:34:34, 82.30
08:34:35, 82.30
08:34:37, 82.30
08:34:38, 82.30
08:34:39, 82.30
08:34:40, 82.30
08:34:41, 82.30
08:34:42, 82.30
08:34:43, 82.30
08:34:44, 82.30
08:34:45, 82.30
08:34:46, 82.30
08:34:47, 82.30
